position,variable,label,block,type,n_valid,n_missing,min,max,mean,value_labels,derivation
103,REGION_COM,Region Comoros,wave-specific,numeric,1000,145910,1.0,3.0,,1 = Grande Comore (Ngazidja) | 2 = Anjouan (Ndzuwani) | 3 = Moheli (Mwali),As supplied in the source file for this wave.
104,REGION_CRI,Region Costa Rica,wave-specific,numeric,1000,145910,1.0,7.0,,1 = San Jose | 2 = Alajuela | 3 = Cartago | 4 = Heredia | 5 = Guanacaste | 6 = Puntarenas | 7 = Limon | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
105,REGION_CYP,Region Cyprus,wave-specific,numeric,1031,145879,1.0,5.0,,1 = Nicosia | 2 = Limassol | 3 = Larnaka | 4 = Famagusta | 5 = Pafos | 8 = (DK) | 9 = (Refused),As supplied in the source file for this wave.
106,REGION_CZE,Region Czech Republic,wave-specific,numeric,1004,145906,1.0,14.0,,1 = The City of Prague | 2 = Central Bohemian Region | 3 = South Bohemian Region | 4 = Plzen Region | 5 = Karlovy Vary Region | 6 = Usti nad Labem Region | 7 = Liberec Region | 8 = Hradec Kralove Region | 9 = Pardubice Region | 10 = Vysocina Region | 11 = South Moravian Region | 12 = Olomouc Region | 13 = Zlin Region | 14 = Moravian-Silesian Region | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
107,REGION_DEU,Region Germany,wave-specific,numeric,1000,145910,4001.0,4016.0,,4001 = Schleswig-Holstein | 4002 = Hamburg | 4003 = Niedersachsen | 4004 = Bremen | 4005 = Nordrhein-Westfalen | 4006 = Hessen | 4007 = Rheinland-Pfalz | 4008 = Baden-Wurttemberg | 4009 = Bayern | 4010 = Saarland | 4011 = Berlin | 4012 = Brandenburg | 4013 = Mecklenburg-Vorpommern | 4014 = Sachsen | 4015 = Sachsen-Anhalt | 4016 = Thuringen | 9998 = Dont know | 9999 = Refused,As supplied in the source file for this wave.
108,REGION_DOM,Region Dominican Republic,wave-specific,numeric,1000,145910,1.0,32.0,,1 = DISTRITO NACIONAL | 2 = AZUA | 3 = BAHORUCO | 4 = BARAHONA | 5 = DAJABON | 6 = DUARTE | 7 = ELIAS PIÑA | 8 = EL SEIBO | 9 = ESPAILLAT | 10 = INDEPENDENCIA | 11 = LA ALTAGRACIA | 12 = LA ROMANA | 13 = LA VEGA | 14 = MARIA T. SANCHEZ | 15 = MONTECRISTI | 16 = PERDENALES | 17 = PERAVIA | 18 = PUERTO PLATA | 19 = HERMANAS MIRABAL (FORMERLY SALCEDO) | 20 = SAMANA | 21 = SAN CRISTOBAL | 22 = SAN JUAN | 23 = SAN PEDRO DE MACORIS | 24 = SANCHEZ RAMIREZ | 25 = SANTIAGO | 26 = SANTIAGO RODRIGUEZ | 27 = VALVERDE | 28 = MONSEÑOR NOUEL | 29 = MONTE PLATA | 30 = HATO MAYOR | 31 = SAN JOSE DE OCOA | 32 = SANTO DOMINGO | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
109,REGION_DRC,Region Congo Kinshasa,wave-specific,numeric,1000,145910,1.0,11.0,,1 = Bandundu | 2 = Bas Congo | 3 = Equateur | 4 = Kasai Occidental | 5 = Kasai Oriental | 6 = Katanga | 7 = Kinshasa | 8 = Maniema | 9 = Nord Kivu | 10 = Province Orientale | 11 = Sud Kivu,As supplied in the source file for this wave.
110,REGION_DZA,Region Algeria,wave-specific,numeric,1000,145910,1.0,98.0,,1 = Adrar | 2 = Chlef | 3 = Laghouat | 4 = Oum el-Bouaghi | 5 = Batna | 6 = Bejaia | 7 = Biskra | 8 = Bechar | 9 = Blida | 10 = Bouira | 11 = Tamanghasset | 12 = Tebessa | 13 = Tlemcen | 14 = Tiaret | 15 = Tizi Ouzou | 16 = Algiers | 17 = Djelfa | 18 = Jijel | 19 = Setif | 20 = Saida | 21 = Skikda | 22 = Sidi Bel Abbes | 23 = Annaba | 24 = Guelma | 25 = Constantine | 26 = Medea | 27 = Mostaganem | 28 = M Sila | 29 = Mascara | 30 = Ouargla | 31 = Oran | 32 = El Bayadh | 33 = Illizi | 34 = Bordj Bou Arreridj | 35 = Boumerdes | 36 = El Taref | 37 = Tindouf | 38 = Tissemsilt | 39 = El Oued | 40 = Khenchela | 41 = Souk Ahras | 42 = Tipasa | 43 = Mila | 44 = Ain Defla | 45 = Naama | 46 = Ain Temouchent | 47 = Ghardaia | 48 = Relizane | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
111,REGION_ECU,Region Ecuador,wave-specific,numeric,1000,145910,1.0,23.0,,1 = Azuay | 2 = Bolívar | 3 = Carchi | 4 = Cotopaxi | 5 = Chimborazo | 6 = El Oro | 7 = Esmeraldas | 8 = Guayas | 9 = Imbabura | 10 = Loja | 11 = Los Rios | 12 = Manabí | 13 = Morona Santiago | 14 = Napo | 15 = Orellana | 16 = Pichincha | 17 = Sucumbíos | 18 = Tungurahua | 19 = Zamora Chinchipe | 20 = Pastaza | 21 = Santa Elena | 22 = Santo Domingo de los Satchilas | 23 = Cañar | 24 = Galápagos | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
112,REGION_EGY,Region Egypt,wave-specific,numeric,1000,145910,1.0,22.0,,1 = Dakhalia | 2 = Faiyum | 3 = Sharqia | 4 = Aswan | 5 = Cairo | 6 = Ismailia | 7 = Menia | 8 = Alexandria | 9 = Gharbia | 10 = Sohag | 11 = Giza | 12 = Port Said | 13 = Suez | 14 = Damietta | 15 = Qalyubia | 16 = Kafr El-Sheikh | 17 = Monufia | 18 = Beheira | 19 = Beni-Suef | 20 = Asyut | 21 = Qena | 22 = Luxor | 23 = Matruh | 24 = Red Sea | 25 = New Valley | 26 = North Sinai | 27 = South Sinai | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
